y	x	variable1	Zona	ErrorConEfecto	Disenio	Franja	AsigTrat	FranjaRep	MiRto
333.333333333333	0	76.5564013310869	0	76.5564013310869	DFR	Franja_333	140	FranjaRep_1	84.6410345634949
333.333333333333	14.2857142857143	76.5526380889761	0	76.5526380889761	DFR	Franja_333	140	FranjaRep_1	84.6372713213841
333.333333333333	28.5714285714286	78.0267900240031	0	78.0267900240031	DFR	Franja_333	140	FranjaRep_1	86.1114232564111
333.333333333333	42.8571428571429	82.9508435867309	0	82.9508435867309	DFR	Franja_333	140	FranjaRep_1	91.0354768191389
333.333333333333	57.1428571428571	81.5268434825008	0	81.5268434825008	DFR	Franja_333	140	FranjaRep_1	89.6114767149088
333.333333333333	71.4285714285714	83.6785247982187	0	83.6785247982187	DFR	Franja_333	140	FranjaRep_1	91.7631580306268
333.333333333333	85.7142857142857	78.8905973822431	0	78.8905973822431	DFR	Franja_333	140	FranjaRep_1	86.9752306146511
333.333333333333	100	78.5780888246869	0	78.5780888246869	DFR	Franja_333	140	FranjaRep_1	86.6627220570949
333.333333333333	114.285714285714	80.4423912177385	0	80.4423912177385	DFR	Franja_333	140	FranjaRep_1	88.5270244501466
333.333333333333	128.571428571429	82.2029838383854	0	82.2029838383854	DFR	Franja_333	140	FranjaRep_1	90.2876170707934
333.333333333333	142.857142857143	83.681536981156	0	83.681536981156	DFR	Franja_333	140	FranjaRep_1	91.766170213564
333.333333333333	157.142857142857	80.8289263584211	0	80.8289263584211	DFR	Franja_333	140	FranjaRep_1	88.9135595908292
333.333333333333	171.428571428571	81.821767889323	0	81.821767889323	DFR	Franja_333	140	FranjaRep_1	89.906401121731
333.333333333333	185.714285714286	78.8258865914504	0	78.8258865914504	DFR	Franja_333	140	FranjaRep_1	86.9105198238584
333.333333333333	200	82.3462110471993	0	82.3462110471993	DFR	Franja_333	140	FranjaRep_1	90.4308442796073
333.333333333333	214.285714285714	84.6765566920438	0	84.6765566920438	DFR	Franja_333	140	FranjaRep_1	92.7611899244518
333.333333333333	228.571428571429	82.2514620408257	0	82.2514620408257	DFR	Franja_333	140	FranjaRep_1	90.3360952732337
333.333333333333	242.857142857143	82.6041303535604	0	82.6041303535604	DFR	Franja_333	140	FranjaRep_1	90.6887635859684
