x	y	variable1	Zona	ErrorConEfecto	Disenio	AsigTrat	MiRto
0	0	80.6577539468172	0	80.6577539468172	DCA	210	83.6610528165612
14.2857142857143	0	79.4065587790026	0	79.4065587790026	DCA	0	79.4065587790026
28.5714285714286	0	79.2330500565531	0	79.2330500565531	DCA	210	82.2363489262971
42.8571428571429	0	80.0343660766251	0	80.0343660766251	DCA	0	80.0343660766251
57.1428571428571	0	80.3119277436981	0	80.3119277436981	DCA	210	83.3152266134421
71.4285714285714	0	82.6352337352514	0	82.6352337352514	DCA	70	88.9123543398505
85.7142857142857	0	80.6791418949459	0	80.6791418949459	DCA	210	83.6824407646899
100	0	81.6202258452788	0	81.6202258452788	DCA	280	75.0725823755686
114.285714285714	0	77.2923251616076	0	77.2923251616076	DCA	70	83.5694457662067
128.571428571429	0	76.9187272033781	0	76.9187272033781	DCA	0	76.9187272033781
142.857142857143	0	80.3105190130276	0	80.3105190130276	DCA	210	83.3138178827717
157.142857142857	0	82.2065549728567	0	82.2065549728567	DCA	210	85.2098538426007
171.428571428571	0	80.5706532214459	0	80.5706532214459	DCA	140	87.848873449293
185.714285714286	0	76.6831913946362	0	76.6831913946362	DCA	280	70.135547924926
200	0	76.8647822940683	0	76.8647822940683	DCA	140	84.1430025219154
214.285714285714	0	76.8291988344395	0	76.8291988344395	DCA	0	76.8291988344395
228.571428571429	0	74.6552202396285	0	74.6552202396285	DCA	70	80.9323408442276
242.857142857143	0	76.0344665964385	0	76.0344665964385	DCA	0	76.0344665964385
257.142857142857	0	77.6185198808597	0	77.6185198808597	DCA	70	83.8956404854588
271.428571428571	0	77.6888165456269	0	77.6888165456269	DCA	0	77.6888165456269
285.714285714286	0	77.706781963699	0	77.706781963699	DCA	0	77.706781963699
300	0	79.6909094494162	0	79.6909094494162	DCA	280	73.143265979706
314.285714285714	0	80.6540370148668	0	80.6540370148668	DCA	140	87.9322572427139
328.571428571429	0	83.542613944352	0	83.542613944352	DCA	70	89.8197345489511
342.857142857143	0	80.5599268076673	0	80.5599268076673	DCA	140	87.8381470355144
357.142857142857	0	78.9882785864286	0	78.9882785864286	DCA	0	78.9882785864286
