x	y	variable1	Zona	ErrorConEfecto	Disenio	AsigTrat	MiRto
0	0	78.2103055068049	0	78.2103055068049	DCA	210	78.2534494906668
14.2857142857143	0	80.3748010162387	0	80.3748010162387	DCA	70	85.1695198341921
28.5714285714286	0	77.7066054632151	0	77.7066054632151	DCA	140	82.5157056091225
42.8571428571429	0	76.3802370537462	0	76.3802370537462	DCA	210	76.4233810376081
57.1428571428571	0	76.2471741541732	0	76.2471741541732	DCA	210	76.2903181380351
71.4285714285714	0	77.7301128865649	0	77.7301128865649	DCA	70	82.5248317045184
85.7142857142857	0	77.0469358631261	0	77.0469358631261	DCA	140	81.8560360090335
100	0	79.3266750075337	0	79.3266750075337	DCA	70	84.1213938254871
114.285714285714	0	79.6525257987283	0	79.6525257987283	DCA	70	84.4472446166817
128.571428571429	0	80.4194158979603	0	80.4194158979603	DCA	210	80.4625598818222
142.857142857143	0	79.6745277501914	0	79.6745277501914	DCA	280	70.1713780820083
157.142857142857	0	81.0631259511065	0	81.0631259511065	DCA	0	81.0631259511065
171.428571428571	0	81.1633828486016	0	81.1633828486016	DCA	0	81.1633828486016
185.714285714286	0	80.8088625757147	0	80.8088625757147	DCA	280	71.3057129075316
200	0	79.4142420442587	0	79.4142420442587	DCA	70	84.2089608622122
214.285714285714	0	81.0397964048072	0	81.0397964048072	DCA	280	71.536646736624
228.571428571429	0	75.3678250728194	0	75.3678250728194	DCA	280	65.8646754046363
242.857142857143	0	76.558389341382	0	76.558389341382	DCA	210	76.6015333252439
257.142857142857	0	77.0055453247276	0	77.0055453247276	DCA	280	67.5023956565445
271.428571428571	0	77.7561823377418	0	77.7561823377418	DCA	140	82.5652824836493
285.714285714286	0	77.3398053116361	0	77.3398053116361	DCA	70	82.1345241295896
300	0	78.7378902620877	0	78.7378902620877	DCA	280	69.2347405939045
314.285714285714	0	80.0292043085722	0	80.0292043085722	DCA	210	80.0723482924341
328.571428571429	0	76.7629128688814	0	76.7629128688814	DCA	280	67.2597632006983
342.857142857143	0	75.5763007415819	0	75.5763007415819	DCA	70	80.3710195595354
357.142857142857	0	76.0717939356828	0	76.0717939356828	DCA	210	76.1149379195447
371.428571428571	0	75.5786381154221	0	75.5786381154221	DCA	280	66.075488447239
385.714285714286	0	79.8726990134764	0	79.8726990134764	DCA	280	70.3695493452933
400	0	79.6878076507482	0	79.6878076507482	DCA	140	84.4969077966556
414.285714285714	0	78.4157123794309	0	78.4157123794309	DCA	0	78.4157123794309
428.571428571429	0	78.3369149403928	0	78.3369149403928	DCA	280	68.8337652722097
442.857142857143	0	77.4090668926432	0	77.4090668926432	DCA	0	77.4090668926432
457.142857142857	0	74.1686752637208	0	74.1686752637208	DCA	210	74.2118192475827
471.428571428571	0	74.9825071668078	0	74.9825071668078	DCA	70	79.7772259847613
