x	y	variable1	Zona	ErrorConEfecto	Disenio	Bloque	AsigTrat	MiRto
0	666.666666666667	77.4294762482166	0	77.4294762482166	DBCA	1_1	210	83.3290778013103
0	700	74.6416909627861	0	74.6416909627861	DBCA	1_1	140	82.3652494527877
0	733.333333333333	83.6240899317089	0	83.6240899317089	DBCA	1_1	70	89.3811145706793
0	766.666666666667	82.8734192367858	0	82.8734192367858	DBCA	1_1	280	83.1585730650326
0	800	79.3425528420447	0	79.3425528420447	DBCA	1_1	0	79.3425528420447
0	833.333333333333	78.1665602233161	0	78.1665602233161	DBCA	1_2	70	83.9235848622865
0	866.666666666667	79.3941090876637	0	79.3941090876637	DBCA	1_2	0	79.3941090876637
0	900	80.9824290648636	0	80.9824290648636	DBCA	1_2	210	86.8820306179573
0	933.333333333333	82.017389185325	0	82.017389185325	DBCA	1_2	280	82.3025430135717
0	966.666666666667	81.0815648230105	0	81.0815648230105	DBCA	1_2	140	88.8051233130121
128.571428571429	666.666666666667	87.0240153092769	0	87.0240153092769	DBCA	10_1	70	92.7810399482473
128.571428571429	700	82.8909102089008	0	82.8909102089008	DBCA	10_1	280	83.1760640371475
128.571428571429	733.333333333333	81.8668201112656	0	81.8668201112656	DBCA	10_1	210	87.7664216643593
128.571428571429	766.666666666667	81.9232991824913	0	81.9232991824913	DBCA	10_1	140	89.6468576724929
128.571428571429	800	81.92112702674	0	81.92112702674	DBCA	10_1	0	81.92112702674
128.571428571429	833.333333333333	82.2469909979437	0	82.2469909979437	DBCA	10_2	280	82.5321448261904
128.571428571429	866.666666666667	80.9633057814024	0	80.9633057814024	DBCA	10_2	140	88.686864271404
128.571428571429	900	83.081776045742	0	83.081776045742	DBCA	10_2	210	88.9813775988358
128.571428571429	933.333333333333	86.1897665778386	0	86.1897665778386	DBCA	10_2	0	86.1897665778386
128.571428571429	966.666666666667	77.5428101589634	0	77.5428101589634	DBCA	10_2	70	83.2998347979337
142.857142857143	666.666666666667	84.3013453968722	0	84.3013453968722	DBCA	11_1	70	90.0583700358426
